Region,Market,Store,Trade Date,Fiscal Period,Model,Line Of Business,Day Category,Revenue ,Units Sold ,Transaction Category
North East,Adamawa,Ganye,27-Apr-14,2015-01,5001C,Service Plan,WorkDay,117120,13,Low
North East,Adamawa,Gayuk,13-Apr-14,2015-01,5001C,Service Plan,WorkDay,892440,4,Low
North East,Adamawa,Gayuk,21-Apr-14,2015-01,3002C,Service Plan,Public Holiday,1956720,9,Low
North East,Adamawa,Gayuk,22-Apr-14,2015-01,2500P,Printer Sale,WorkDay,3334320,6,Low
North East,Adamawa,Gayuk,24-Apr-14,2015-01,3002P,Service Plan,WorkDay,7788600,36,Medium
North East,Adamawa,Gayuk,25-Apr-14,2015-01,4500C,Service Plan,WorkDay,10534680,72,High
North East,Adamawa,Gayuk,27-Apr-14,2015-01,5001P,Service Plan,WorkDay,992400,2,Low
North East,Adamawa,Gayuk,28-Apr-14,2015-01,2500C,Copier Sale,WorkDay,3770400,8,Low
North East,Adamawa,Gayuk,30-Apr-14,2015-01,3002P,Parts,WorkDay,621000,24,Medium
North East,Adamawa,Gombi,5-Apr-14,2015-01,2500C,Copier Sale,WorkDay,6037200,17,Low
North East,Adamawa,Gombi,12-Apr-14,2015-01,4055T,Parts,WorkDay,2322840,25,Medium
North East,Adamawa,Gombi,12-Apr-14,2015-01,5001C,Service Plan,WorkDay,240480,1,Low
North East,Adamawa,Gombi,18-Apr-14,2015-01,3002C,Service Plan,Public Holiday,3073320,14,Low
North East,Adamawa,Gombi,19-Apr-14,2015-01,4500C,Service Plan,Observance,8714760,43,Medium
North East,Adamawa,Gombi,24-Apr-14,2015-01,2500P,Printer Sale,WorkDay,5450280,9,Low
North East,Adamawa,Gombi,25-Apr-14,2015-01,5001P,Service Plan,WorkDay,1932240,7,Low
North East,Adamawa,Gombi,28-Apr-14,2015-01,3002P,Parts,WorkDay,74640,43,Medium
North East,Adamawa,Gombi,29-Apr-14,2015-01,3002P,Service Plan,WorkDay,13356000,62,High
North East,Adamawa,Gombi,30-Apr-14,2015-01,3002P,Parts,WorkDay,2824440,17,Low
North East,Adamawa,Gombi,30-Apr-14,2015-01,5001C,Parts,WorkDay,19680,51,High
North East,Adamawa,Grie,1-Apr-14,2015-01,5001C,Service Plan,WorkDay,129000,53,High
North East,Adamawa,Grie,4-Apr-14,2015-01,2500P,Printer Sale,WorkDay,1921800,4,Low
North East,Adamawa,Grie,15-Apr-14,2015-01,3002C,Service Plan,WorkDay,2170800,9,Low
North East,Adamawa,Grie,15-Apr-14,2015-01,4500C,Service Plan,WorkDay,2237280,11,Low
North East,Adamawa,Grie,17-Apr-14,2015-01,5001P,Service Plan,WorkDay,1034160,3,Low
North East,Adamawa,Grie,20-Apr-14,2015-01,4055T,Parts,Public Holiday,59760,40,Medium
North East,Adamawa,Grie,21-Apr-14,2015-01,2500C,Copier Sale,Public Holiday,1899240,7,Low
North East,Adamawa,Grie,28-Apr-14,2015-01,3002P,Service Plan,WorkDay,6256560,23,Medium
North East,Adamawa,Grie,29-Apr-14,2015-01,3002P,Parts,WorkDay,601680,12,Low
North East,Bauchi,Alkaleri,4-Apr-14,2015-01,3002P,Parts,WorkDay,1280400,13,Low
North East,Bauchi,Alkaleri,11-Apr-14,2015-01,3002C,Parts,WorkDay,210000,51,High
North East,Bauchi,Alkaleri,14-Apr-14,2015-01,5001P,Parts,WorkDay,634680,49,Medium
North East,Bauchi,Alkaleri,16-Apr-14,2015-01,4055T,Parts,WorkDay,42600,52,High
North East,Bauchi,Alkaleri,19-Apr-14,2015-01,4500C,Service Plan,Observance,6001800,22,Medium
North East,Bauchi,Alkaleri,20-Apr-14,2015-01,5001C,Parts,Public Holiday,75000,20,Low
North East,Bauchi,Alkaleri,23-Apr-14,2015-01,5001P,Service Plan,WorkDay,649080,2,Low
North East,Bauchi,Alkaleri,25-Apr-14,2015-01,2500C,Copier Sale,WorkDay,5236800,17,Low
North East,Bauchi,Alkaleri,27-Apr-14,2015-01,3002C,Parts,WorkDay,162120,57,High
North East,Bauchi,Alkaleri,28-Apr-14,2015-01,3002P,Service Plan,WorkDay,5710200,18,Low
North East,Bauchi,Alkaleri,29-Apr-14,2015-01,2500P,Printer Sale,WorkDay,3487800,7,Low
North East,Bauchi,Alkaleri,30-Apr-14,2015-01,3002C,Service Plan,WorkDay,2443560,12,Low
North East,Bauchi,Bauchi,3-Apr-14,2015-01,3002C,Service Plan,WorkDay,4169040,15,Low
North East,Bauchi,Bauchi,13-Apr-14,2015-01,5001C,Parts,WorkDay,82680,22,Medium
North East,Bauchi,Bauchi,13-Apr-14,2015-01,5001P,Parts,WorkDay,217440,29,Medium
North East,Bauchi,Bauchi,16-Apr-14,2015-01,2500C,Copier Sale,WorkDay,8495880,28,Medium
North East,Bauchi,Bauchi,16-Apr-14,2015-01,3002P,Parts,WorkDay,2611560,47,Medium
North East,Bauchi,Bauchi,22-Apr-14,2015-01,2500P,Printer Sale,WorkDay,5260320,6,Low
North East,Bauchi,Bauchi,23-Apr-14,2015-01,4500C,Service Plan,WorkDay,14429160,93,High
North East,Bauchi,Bauchi,23-Apr-14,2015-01,5001P,Service Plan,WorkDay,1155360,4,Low
North East,Bauchi,Bauchi,24-Apr-14,2015-01,5001C,Service Plan,WorkDay,417120,2,Low
North East,Bauchi,Bauchi,28-Apr-14,2015-01,4055T,Parts,WorkDay,670680,18,Low
North East,Bauchi,Bauchi,29-Apr-14,2015-01,3002P,Service Plan,WorkDay,12772200,52,High
North East,Bauchi,Bauchi,30-Apr-14,2015-01,3002C,Parts,WorkDay,270240,59,High
North East,Bauchi,Bogoro,1-Apr-14,2015-01,5001C,Service Plan,WorkDay,338160,1,Low
North East,Bauchi,Bogoro,1-Apr-14,2015-01,5001P,Service Plan,WorkDay,561120,1,Low
North East,Bauchi,Bogoro,2-Apr-14,2015-01,3002C,Parts,WorkDay,25080,38,Medium
North East,Bauchi,Bogoro,3-Apr-14,2015-01,3002P,Parts,WorkDay,713640,22,Medium
North East,Bauchi,Bogoro,5-Apr-14,2015-01,5001C,Parts,WorkDay,9840,24,Medium
North East,Bauchi,Bogoro,6-Apr-14,2015-01,2500P,Printer Sale,WorkDay,1190040,1,Low
North East,Bauchi,Bogoro,7-Apr-14,2015-01,3002C,Parts,WorkDay,252000,54,High
North East,Bauchi,Bogoro,8-Apr-14,2015-01,2500C,Copier Sale,WorkDay,1386480,4,Low
North East,Bauchi,Bogoro,11-Apr-14,2015-01,3002P,Parts,WorkDay,60960,26,Medium
North East,Bauchi,Bogoro,13-Apr-14,2015-01,5001C,Parts,WorkDay,58200,29,Medium
North East,Bauchi,Bogoro,18-Apr-14,2015-01,5001P,Parts,Public Holiday,106920,28,Medium
North East,Bauchi,Bogoro,24-Apr-14,2015-01,3002P,Service Plan,WorkDay,3973920,17,Low
North East,Bauchi,Bogoro,25-Apr-14,2015-01,4500C,Service Plan,WorkDay,6062280,22,Medium
North East,Bauchi,Bogoro,28-Apr-14,2015-01,3002C,Service Plan,WorkDay,1444440,7,Low
North East,Bauchi,Bogoro,30-Apr-14,2015-01,4055T,Parts,WorkDay,644040,15,Low
North East,Bauchi,Damban,4-Apr-14,2015-01,3002C,Service Plan,WorkDay,3626760,19,Low
North East,Bauchi,Damban,10-Apr-14,2015-01,5001P,Service Plan,WorkDay,963960,2,Low
North East,Bauchi,Damban,13-Apr-14,2015-01,3002P,Service Plan,WorkDay,12772920,48,Medium
North East,Bauchi,Damban,14-Apr-14,2015-01,3002P,Parts,WorkDay,1735680,39,Medium
North East,Bauchi,Damban,18-Apr-14,2015-01,5001C,Parts,Public Holiday,21600,11,Low
North East,Bauchi,Damban,19-Apr-14,2015-01,3002C,Parts,Observance,95160,27,Medium
North East,Bauchi,Damban,22-Apr-14,2015-01,5001P,Parts,WorkDay,872520,24,Medium
North East,Bauchi,Damban,24-Apr-14,2015-01,4500C,Service Plan,WorkDay,8193720,54,High
North East,Bauchi,Damban,25-Apr-14,2015-01,2500P,Printer Sale,WorkDay,2234400,5,Low
North East,Bauchi,Damban,28-Apr-14,2015-01,4055T,Parts,WorkDay,1289760,43,Medium
North East,Bauchi,Damban,29-Apr-14,2015-01,5001C,Service Plan,WorkDay,355080,2,Low
North East,Bauchi,Damban,30-Apr-14,2015-01,2500C,Copier Sale,WorkDay,1836120,4,Low
North East,Bauchi,Damban,30-Apr-14,2015-01,3002C,Parts,WorkDay,29280,40,Medium
North East,Bauchi,Damban,30-Apr-14,2015-01,5001C,Parts,WorkDay,63480,14,Low
North East,Bauchi,Darazo,4-Apr-14,2015-01,2500C,Copier Sale,WorkDay,3815520,9,Low
North East,Bauchi,Darazo,6-Apr-14,2015-01,3002C,Parts,WorkDay,733200,60,High
North East,Bauchi,Darazo,6-Apr-14,2015-01,4500P,Service Plan,WorkDay,1740720,7,Low
North East,Bauchi,Darazo,6-Apr-14,2015-01,5001C,Parts,WorkDay,10560,34,Medium
North East,Bauchi,Darazo,10-Apr-14,2015-01,3002P,Parts,WorkDay,28200,37,Medium
North East,Bauchi,Darazo,10-Apr-14,2015-01,5001C,Service Plan,WorkDay,404760,2,Low
North East,Bauchi,Darazo,12-Apr-14,2015-01,4055T,Parts,WorkDay,1308840,22,Medium
North East,Bauchi,Darazo,14-Apr-14,2015-01,3002C,Service Plan,WorkDay,2578560,10,Low
North East,Bauchi,Darazo,15-Apr-14,2015-01,5001P,Service Plan,WorkDay,624720,2,Low
North East,Bauchi,Darazo,18-Apr-14,2015-01,2500P,Printer Sale,Public Holiday,5499000,11,Low
North East,Bauchi,Darazo,20-Apr-14,2015-01,3002P,Parts,Public Holiday,626040,34,Medium
North East,Bauchi,Darazo,21-Apr-14,2015-01,3002C,Parts,Public Holiday,28920,12,Low
North East,Bauchi,Darazo,22-Apr-14,2015-01,3002P,Service Plan,WorkDay,6757920,20,Low
North East,Bauchi,Darazo,23-Apr-14,2015-01,4500C,Service Plan,WorkDay,6384720,29,Medium
North East,Bauchi,Dass,3-Apr-14,2015-01,3002C,Parts,WorkDay,23520,40,Medium
North East,Bauchi,Dass,5-Apr-14,2015-01,5001P,Service Plan,WorkDay,238200,1,Low
North East,Bauchi,Dass,6-Apr-14,2015-01,5001C,Service Plan,WorkDay,87720,42,Medium
North East,Bauchi,Dass,9-Apr-14,2015-01,5001C,Parts,WorkDay,20880,78,High
North East,Bauchi,Dass,10-Apr-14,2015-01,2500P,Printer Sale,WorkDay,552240,1,Low
North East,Bauchi,Dass,14-Apr-14,2015-01,2500C,Copier Sale,WorkDay,453840,1,Low
North East,Bauchi,Dass,18-Apr-14,2015-01,3002P,Parts,Public Holiday,429000,40,Medium
North East,Bauchi,Dass,20-Apr-14,2015-01,3002P,Service Plan,Public Holiday,3157320,13,Low
North East,Bauchi,Dass,22-Apr-14,2015-01,4500C,Service Plan,WorkDay,2025360,12,Low
North East,Bauchi,Dass,22-Apr-14,2015-01,5001P,Parts,WorkDay,215640,35,Medium
North East,Bauchi,Dass,25-Apr-14,2015-01,3002C,Service Plan,WorkDay,896520,4,Low
North East,Bauchi,Dass,29-Apr-14,2015-01,3002C,Parts,WorkDay,7200,54,High
North East,Bauchi,Dass,29-Apr-14,2015-01,4055T,Parts,WorkDay,318840,51,High
North East,Bauchi,Gamawa,1-Apr-14,2015-01,5001P,Service Plan,WorkDay,1332600,5,Low
North East,Bauchi,Gamawa,4-Apr-14,2015-01,4500C,Service Plan,WorkDay,8891280,54,High
North East,Bauchi,Gamawa,10-Apr-14,2015-01,5001C,Parts,WorkDay,19680,50,Medium
North East,Bauchi,Gamawa,11-Apr-14,2015-01,5001C,Parts,WorkDay,27000,42,Medium
North East,Bauchi,Gamawa,13-Apr-14,2015-01,3002P,Parts,WorkDay,1980480,56,High
North East,Bauchi,Gamawa,14-Apr-14,2015-01,2500C,Copier Sale,WorkDay,2356200,4,Low
North East,Bauchi,Gamawa,15-Apr-14,2015-01,3002P,Service Plan,WorkDay,8673720,32,Medium
North East,Bauchi,Gamawa,16-Apr-14,2015-01,3002C,Parts,WorkDay,45000,51,High
North East,Bauchi,Gamawa,20-Apr-14,2015-01,4500P,Service Plan,Public Holiday,1248840,5,Low
North East,Bauchi,Gamawa,22-Apr-14,2015-01,4055T,Parts,WorkDay,992520,57,High
North East,Bauchi,Gamawa,26-Apr-14,2015-01,3002C,Service Plan,WorkDay,3682680,15,Low
North East,Bauchi,Gamawa,26-Apr-14,2015-01,5001C,Service Plan,WorkDay,290040,1,Low
North East,Bauchi,Gamawa,29-Apr-14,2015-01,3002C,Parts,WorkDay,13800,28,Medium
North East,Bauchi,Gamawa,30-Apr-14,2015-01,2500P,Printer Sale,WorkDay,3571560,4,Low
North East,Borno,Abadam,2-Apr-14,2015-01,4500C,Service Plan,WorkDay,3140040,22,Medium
North East,Borno,Abadam,4-Apr-14,2015-01,2500P,Printer Sale,WorkDay,1003080,1,Low
North East,Borno,Abadam,6-Apr-14,2015-01,3002P,Service Plan,WorkDay,6504600,22,Medium
North East,Borno,Abadam,13-Apr-14,2015-01,5001P,Parts,WorkDay,442200,44,Medium
North East,Borno,Abadam,16-Apr-14,2015-01,4055T,Parts,WorkDay,45600,42,Medium
North East,Borno,Abadam,18-Apr-14,2015-01,5001C,Service Plan,Public Holiday,245640,1,Low
North East,Borno,Abadam,22-Apr-14,2015-01,3002C,Service Plan,WorkDay,1999200,11,Low
North East,Borno,Abadam,22-Apr-14,2015-01,3002P,Parts,WorkDay,79680,20,Low
North East,Borno,Abadam,22-Apr-14,2015-01,5001C,Parts,WorkDay,9840,28,Medium
North East,Borno,Abadam,22-Apr-14,2015-01,5001P,Service Plan,WorkDay,198480,23,Medium
North East,Borno,Askira/Uba,1-Apr-14,2015-01,4500C,Service Plan,WorkDay,9352320,40,Medium
North East,Borno,Askira/Uba,2-Apr-14,2015-01,5001P,Service Plan,WorkDay,1949280,6,Low
